//Thermo Library for Sulfur Compounds
//Last Updated 11/15/2012 by cclass
//
//Note: RMG database does not include cyclic sulfide formation or most tautomerization reactions.
//
//Unless othewise noted in "Comments," all values are from QM calculations (CBS-QB3 with 1D-HR corrections).
//Uncertainties estimated at 1.00, unless experimental uncertainty available.
//
//References
//[1] Good, W.D. et al. J. Phys. Chem., 1961, 65, 2229-2231.
//[2] McCullough, J.P. et al. J. Am. Chem. Soc., 1957, 79, 561-566.
//[3] Hubbard, W.N.; Waddington, G. Rec. Trav. Chim. Pays/Bas, 1954, 73, 910.
//[4] Hubbard, W.N. et al. J. Phys. Chem., 1958, 62, 614-617.
//[5] Voronkov, M.G. et al. Dokl. Phys. Chem. (Engl. Transl.), 1989, 307, 650-653.
//[6] Scott, D.W. et al. J. Chem. Phys., 1962, 36, 406-412.
//[7] Ruscic, B.; Berkowitz, J., J. Chem. Phys., 1993, 98, 2568-2579.
//[8] Roy, M.; McMahon, T.B. Org. Mass Spectrom., 1982, 8, 392-395.
//[9] Butler, J.J.; Baer, T., Org. Mass Spectrom., 1983, 18, 248-253.
//[10] Chase, M.W., Jr., NIST-JANAF Thermochemical Tables, Fourth Edition, 
//	J. Phys. Chem. Ref. Data, Monograph 9, 1998, 1-1951.
//[11] Alfassi, Z.B., S-centered radicals. 1999.
//[12] Roux, M.V. et al. J. Phys. Chem., 2008, 37, 1855-1996
//
//H298 in kcal/mol, Rest in cal/molK										
//Name	H298	S298	Cp300	Cp400	Cp500	Cp600	Cp800	Cp1000	Cp1500	dH	dS	dCp	Comments
HCSSCH3	18.46	75.46	18.86	22.55	25.61	28.01	31.47	33.90	37.60	1.00	1.00	1.00	
HCSSC2H3	45.24	80.54	23.07	27.64	31.09	33.65	37.20	39.65	43.38	1.00	1.00	1.00	
HCSSC2H	91.12	78.43	21.31	24.22	26.36	27.98	30.34	32.02	34.46	1.00	1.00	1.00	
HCSSCSH	56.89	77.85	21.18	24.14	26.51	28.36	31.00	32.71	34.80	1.00	1.00	1.00	
HCSSSH	30.78	76.99	19.72	21.93	23.62	24.92	26.73	27.88	29.28	1.00	1.00	1.00	
C2H5SH	-11.03	72.32	17.64	20.89	23.93	26.66	31.20	34.63	39.96	1.00	1.00	1.00	"H298 from [2]"
C2H5SSH -9.84   83.76   22.85   26.74   30.14   33.06   37.65   40.96   45.89   1.00    1.00    1.00
allylthiol	14.42	75.80	23.35	26.88	29.92	32.54	36.85	40.22	45.68	1.00	1.00	1.00	
prop2yne1thiol	56.45	72.76	19.48	22.62	25.16	27.25	30.52	33.01	36.98	1.00	1.00	1.00	
SHCH2SH	4.18	74.42	19.68	21.08	22.49	23.82	26.16	28.08	31.22	1.00	1.00	1.00	
HCSCH2SH	25.55	75.82	22.25	25.58	27.80	29.43	31.89	33.80	36.97	1.00	1.00	1.00	
propane2thiol	-18.39	77.90	24.08	29.15	33.49	37.06	42.58	46.79	53.77	0.15	1.00	1.00	"H298 from [3]"
but1ene3thiol	6.80	82.42	29.04	34.68	39.19	42.82	48.50	52.89	60.03	1.00	1.00	1.00	
but1yne3thiol	49.14	81.20	25.26	29.98	33.83	36.96	41.81	45.46	51.25	1.00	1.00	1.00	
ethane11dithiol	-3.68	81.62	25.11	28.27	31.06	33.47	37.42	40.51	45.50	1.00	1.00	1.00	
HCSCHCH3SH	17.58	82.71	27.83	32.92	36.65	39.41	43.42	46.41	51.30	1.00	1.00	1.00	
t_butanethiol	-25.99	83.68	30.64	37.33	42.97	47.52	54.44	59.63	68.19	0.21	1.00	1.00	"H298 from [4]"
CH3CHS	15.49	65.42	14.07	16.61	18.98	21.11	24.59	27.17	31.13	1.00	1.00	1.00	"Expt available [9]"
propanethial2methyl	4.58	82.97	16.35	31.94	36.75	40.72	46.88	51.52	59.07	1.00	1.00	1.00	
propanethial22dimethyl	-3.84	87.27	32.70	39.90	45.97	50.91	58.46	64.12	73.34	1.00	1.00	1.00	
propene2thiol	9.82	73.90	21.10	25.32	28.85	31.79	36.47	40.01	45.63	1.00	1.00	1.00	
propenethial	38.39	68.35	17.18	21.40	24.94	27.70	31.59	34.20	37.93	1.00	1.00	1.00	
propynethial	84.36	68.07	15.92	18.49	20.44	21.95	24.18	25.77	28.24	1.00	1.00	1.00	
ethanedithial	53.07	68.42	15.69	18.59	21.14	23.21	26.01	27.54	29.10	1.00	1.00	1.00	
propane2thione	5.50	72.92	19.00	22.89	26.60	29.85	35.06	38.97	45.08	1.00	1.00	1.00	
but3ene2thione	29.02	77.86	23.55	28.42	32.62	36.13	41.50	45.38	51.32	1.00	1.00	1.00	
but3yne2thione	73.20	76.39	21.65	25.66	28.92	31.58	35.64	38.60	43.18	1.00	1.00	1.00	
HCSCSCH3	42.24	79.42	21.25	25.42	29.09	32.02	36.11	38.75	42.50	1.00	1.00	1.00	
C2HSC2H	129.08	78.06	21.80	24.53	26.41	27.83	29.94	31.49	33.98	1.00	1.00	1.00	
C2HSH	61.82	63.03	14.41	16.16	17.39	18.35	19.86	21.03	22.96	1.00	1.00	1.00	
C2H3SSH	24.15	78.68	21.38	24.76	27.55	29.79	33.03	35.19	38.17	1.00	1.00	1.00	
CH3SSH	-1.25	71.12	17.27	19.74	21.86	23.64	26.43	28.47	31.59	1.00	1.00	1.00	
C2HSSH	67.79	73.72	19.47	21.83	23.37	24.47	25.97	27.00	28.55	1.00	1.00	1.00	
CH3SC2H5	-14.41	79.71	22.83	27.53	31.85	35.60	41.68	46.35	53.82	0.26	1.00	1.00	"H298 from [3]"
isopropyl_methyl_sulfide	-21.43	85.25	29.07	35.22	40.76	45.49	53.07	58.86	68.12	0.18	1.00	1.00	"H298 from [4]"
tertbutyl_methyl_sulfide	-28.92	90.14	35.35	43.35	50.22	55.94	64.92	71.72	82.59	0.18	1.00	1.00	"H298 from [6]"
allyl_methyl_sulfide	10.61	84.06	29.37	34.55	38.70	42.18	47.85	52.31	59.65	1.00	1.00	1.00	
but1ene3thiomethyl	2.75	89.92	34.61	42.59	48.63	53.23	60.14	65.43	74.19	1.00	1.00	1.00	
methyl_propargyl_sulfide	52.40	81.12	25.47	29.87	33.48	36.49	41.27	44.94	50.87	1.00	1.00	1.00	
but1yne3thiomethyl	45.19	89.44	31.76	37.47	42.26	46.25	52.57	57.39	65.15	1.00	1.00	1.00	
propene2thiomethyl	7.71	82.87	28.59	33.70	37.87	41.43	47.30	51.92	59.46	1.00	1.00	1.00	
CH3SSCH3	-5.76	80.48	22.41	26.04	29.34	32.18	36.69	40.08	45.38	0.55	1.00	1.00	"H298 from [5]"
CH3SSC2H3	19.70	85.74	26.41	30.72	34.45	37.55	42.33	45.82	51.21	1.00	1.00	1.00	
CH3SSC2H	62.37	82.66	24.85	28.33	31.03	33.18	36.42	38.77	42.42	1.00	1.00	1.00	
CH3SSSH	1.05	83.69	22.84	25.56	27.87	29.80	32.73	34.76	37.58	1.00	1.00	1.00	
CH3SSSCH3	-4.49	91.63	29.67	33.35	36.55	39.27	43.56	46.69	51.40	1.00	1.00	1.00	
CH2S	26.53	56.45	9.09	10.35	11.52	12.51	14.08	15.26	17.14	1.00	1.00	1.00	"Expts available [7] and [8]"
CH3CSSH	15.93	75.41	19.72	22.75	25.39	27.63	31.13	33.71	37.49	1.00	1.00	1.00	
C2H3SC2H5	9.51	85.05	27.36	32.53	37.19	41.17	47.50	52.29	59.87	1.00	1.00	1.00	
pent1ene3thia4methyl	3.04	90.50	32.71	39.82	45.88	50.89	58.70	64.57	73.91	1.00	1.00	1.00	
pent1ene3thia24dimethyl	-6.89	97.04	38.80	47.27	54.54	60.65	70.27	77.47	88.69	1.00	1.00	1.00	
C2H3SC2CH3	71.85	89.41	28.50	33.42	37.68	41.25	46.82	50.95	57.42	1.00	1.00	1.00	
CH3SC2SH	62.00	83.62	24.44	27.90	30.77	33.16	36.92	39.71	43.95	1.00	1.00	1.00	
penta14diene3thia24dimethyl	22.68	98.26	36.16	43.38	49.60	54.83	63.09	69.33	79.21	1.00	1.00	1.00	
HCSSC2H2SCH3	46.36	103.09	36.25	41.93	46.20	49.47	54.23	57.67	63.00	1.00	1.00	1.00	
HCSSC2H5	13.06	84.86	24.33	29.56	33.90	37.37	42.54	46.28	51.98	1.00	1.00	1.00	
CH3CSSC2H5	2.39	93.04	28.97	35.47	41.20	45.98	53.27	58.50	66.26	1.00	1.00	1.00	
SHCSC2H5	9.70	83.73	24.69	29.39	33.41	36.76	41.97	45.79	51.52	1.00	1.00	1.00	
pent1ene4methyl3thione	17.87	93.81	33.97	42.21	49.39	55.33	64.31	70.72	80.35	1.00	1.00	1.00	
but-3-ene-2-thione-3-methyl	20.77	85.09	29.46	36.08	41.49	45.84	52.46	57.38	65.18	1.00	1.00	1.00	
prop-2-enethial-2-methyl	28.99	76.76	22.57	28.02	32.83	36.76	42.50	46.40	52.02	1.00	1.00	1.00	
pent-1-yne-3-thione	68.05	88.13	26.97	32.26	36.70	40.36	46.04	50.20	56.62	1.00	1.00	1.00	
C2HSSCSH	95.39	87.92	27.44	30.81	33.05	34.63	36.73	38.10	39.96	1.00	1.00	1.00	
butane-23-dithione	33.10	89.07	26.00	31.13	35.73	39.58	45.48	49.70	56.05	1.00	1.00	1.00	
tertbutyl_hydrodisulfide	-24.77	90.45	35.08	42.44	48.49	53.39	60.86	66.35	74.82	1.00	1.00	1.00	
methanetrithiol	12.93	85.86	25.19	27.38	28.99	30.26	32.36	34.04	36.79	1.00	1.00	1.00	
ethane-111-trithiol	3.78	91.05	32.56	36.14	38.85	41.01	44.43	47.08	51.38	1.00	1.00	1.00	
propane-22-dithiol	-12.47	85.85	31.08	36.22	40.46	43.96	49.44	53.57	60.14	1.00	1.00	1.00	
butane-22-dithiol	-17.29	96.07	36.68	43.28	48.84	53.45	60.64	66.01	74.46	1.00	1.00	1.00	
ethane-11-dithiol-1thiomethyl	-1.15	99.23	37.76	42.85	46.98	50.29	55.36	59.19	65.39	1.00	1.00	1.00
diethyl_disulfide	-20.53	99.38	34.62	40.71	46.37	51.40	59.48	65.36	71.14	1.00	1.00	1.00	
mercapto_rad	33.30	46.76	7.75	7.57	7.48	7.47	7.60	7.85	8.35	1.00	1.00	1.00	All from [10]
CH3Sj	29.88	57.60	10.80	12.57	14.13	15.44	17.57	19.22	21.92	0.48	1.00	1.00	"H298, S298 from [11]"
C2H3Sj	55.70	64.50	13.10	15.73	17.91	19.68	22.36	24.32	27.39	1.00	1.00	1.00	
C2HSj	87.39	93.95	14.41	15.48	16.21	16.77	17.60	18.22	19.24	1.00	1.00	1.00	
HCSSj	53.92	65.88	11.48	13.04	14.24	15.13	16.35	17.15	18.31	1.00	1.00	1.00	
SHSj	25.23	60.88	9.59	10.30	10.80	11.19	11.80	12.26	12.97	1.00	1.00	1.00	"Expt available [11]"
CH3SSj	17.30	70.82	14.32	16.36	18.15	19.65	22.01	23.80	26.66	1.00	1.00	1.00	"Expts available [11]"
SHSSj	27.09	73.78	14.38	15.21	15.76	16.16	16.76	17.22	17.92	1.00	1.00	1.00	
CH2jSH	38.04	62.58	12.92	14.45	15.71	16.75	18.39	19.66	21.74	1.00	1.00	1.00	
CH3CHjSH	30.63	71.55	17.02	19.93	22.57	24.83	28.44	31.19	35.55	1.00	1.00	1.00	
C2H3CHjSH	44.65	76.63	20.46	24.55	27.89	30.57	34.61	37.57	42.21	1.00	1.00	1.00	
C2HCHjSH	87.74	74.46	19.96	22.67	24.68	26.23	28.53	30.21	32.87	1.00	1.00	1.00	
HCSCHjSH	48.63	75.43	18.24	21.29	23.78	25.76	28.65	30.63	33.43	1.00	1.00	1.00	
SHCHjSH	41.95	74.81	16.18	18.14	19.67	20.91	22.85	24.31	26.60	1.00	1.00	1.00	
isopropyl-2-thiol	22.80	82.05	22.51	26.39	30.09	33.41	38.81	42.97	49.52	1.00	1.00	1.00	
but-1-en-3-yl-3-thiol	34.95	86.56	26.37	31.49	35.96	39.74	45.69	50.09	56.72	1.00	1.00	1.00	
but-1-yn-3-yl-3-thiol	78.81	84.10	24.55	28.53	31.81	34.51	38.71	41.84	46.72	1.00	1.00	1.00	
propanethial-2-yl-2-thiol	35.68	81.62	23.92	29.09	33.25	36.47	41.13	44.34	48.95	1.00	1.00	1.00	
ethanyl-11-dithiol	34.44	86.47	22.75	25.10	27.51	29.71	33.37	36.19	40.61	1.00	1.00	1.00	
ethenyl-1-thiol	72.21	69.43	17.75	19.74	21.26	22.51	24.50	25.95	28.09	1.00	1.00	1.00	
//thioformyl	68.00	56.38	8.77	9.46	10.04	10.52	11.21	11.76	12.62	1.00	1.00	1.00	"Expt available [7]"
thioacetyl	56.91	66.09	12.69	14.77	16.75	18.50	21.25	23.30	26.46	1.00	1.00	1.00	
//SCjj	76.02	76.71	18.23	20.95	23.22	25.10	27.99	30.10	33.33	1.00	1.00	1.00	
Sjj	66.20	40.11	4.97	4.97	4.97	4.97	4.97	5.13	5.06	1.00	1.00	1.00	"H298, S298, Cp1000, Cp1500 from [10], rest from AGV"
ethylthio	22.65	68.04	15.98	19.13	21.93	24.38	28.32	31.28	35.96	1.00	1.00	1.00	
C2H5SSJ	9.20	82.00	19.93	23.20	26.17	28.79	33.02	36.14	40.86	1.00	1.00	1.00
propyl-2-thio	17.69	74.74	21.15	26.05	30.33	33.91	39.51	43.69	50.26	1.00	1.00	1.00	
tert-butylthio	9.73	80.98	27.39	33.82	39.39	44.02	51.15	56.41	64.72	1.00	1.00	1.00	
CH3SCH2Sj	33.73	78.49	20.36	24.36	27.74	30.40	34.27	37.02	41.33	1.00	1.00	1.00	
C2H3CH2Sj	49.53	73.16	18.85	22.86	26.25	29.04	33.35	36.54	41.55	1.00	1.00	1.00	
C2H3C2H2Sj	56.26	79.50	21.59	26.90	31.38	34.92	39.99	43.43	48.40	1.00	1.00	1.00	
propen-2-thio	38.65	73.35	18.62	22.47	25.86	28.68	33.10	36.35	41.47	1.00	1.00	1.00	
propen-1-thio	37.66	73.01	17.85	21.76	25.27	28.23	32.83	36.21	41.42	1.00	1.00	1.00	"Values for cis only"	
CH3SSSj	21.23	83.42	19.00	21.20	23.04	24.56	26.95	28.75	31.62	1.00	1.00	1.00	
CH3SCH2j	33.53	71.55	17.66	20.57	23.11	25.26	28.69	31.32	35.56	1.00	1.00	1.00	
CH3SSCH2j	38.45	83.91	23.36	26.58	29.22	31.33	34.51	36.90	40.79	1.00	1.00	1.00	
SHCH2SCH2j	43.20	84.92	24.44	27.29	29.67	31.66	34.81	37.23	41.12	1.00	1.00	1.00	
CH3SCHjCH3	26.49	82.05	21.94	26.12	29.99	33.33	38.70	42.78	49.28	1.00	1.00	1.00	
C2H5SCHjCH3	20.69	91.00	27.94	33.65	38.76	43.11	50.03	55.27	63.60	1.00	1.00	1.00	
pentan-2-yl-2-methyl-3-thia	12.94	98.08	33.48	40.03	46.19	51.60	60.35	67.02	77.54	1.00	1.00	1.00	
hex-2-yn-4-yl-4-methyl-5-thia	63.56	102.15	34.43	40.98	46.69	51.53	59.27	65.13	74.37	1.00	1.00	1.00	
propan-1-yl-1-thione	50.85	77.40	18.15	21.58	24.82	27.62	32.07	35.39	40.53	1.00	1.00	1.00	
//S2	30.74	54.54	7.79	8.14	8.35	8.51	8.75	8.94	9.31	1.00	1.00	1.00	"All from [10]"
CS	67.00	50.32	7.13	7.40	7.69	7.94	8.30	8.51	8.78	1.00	1.00	1.00	"All from [10]"
C2H5SC2H5	-19.88	87.79	27.96	34.23	39.93	44.84	52.67	58.62	68.04	1.00	1.00	1.00
CH2JCH2SC2H5	29.36	91.95	29.46	34.90	39.74	43.88	50.49	55.56	63.71	1.00	1.00	1.00

CH2OHSH	-44.43	69.96	18.44	21.05	22.95	24.36	26.42	27.98	30.87	1.00	1.00	1.00
CHCH3OHSH	-54.04	77.20	24.59	28.69	31.73	34.08	34.59	40.27	45.05	1.00	1.00	1.00
CH2OHSJ	-7.88	66.38	13.89	16.40	18.45	20.05	22.39	24.06	26.71	1.00	1.00	1.00
CHCH3OHSJ	-16.74	75.02	19.84	23.81	27.11	29.75	33.66	36.49	40.97	1.00	1.00	1.00
CHOHS	-29.71	62.29	11.71	13.86	15.81	17.46	19.96	21.62	23.70	1.00	1.00	1.00
CHOSH	-31.77	64.46	13.46	15.24	16.74	18.00	19.95	21.32	23.24	1.00	1.00	1.00
CHOSJ	6.87	64.18	11.24	12.44	13.48	14.38	15.76	16.74	18.12	1.00	1.00	1.00
COS	-35.96	55.34	9.81	10.80	11.60	12.21	13.03	13.51	14.12	0.25	1.00	1.00
// CSOHOH	-85.48	66.82	17.05	20.29	22.86	24.79	27.16	28.27	29.21	1.00	1.00	1.00
// COSHOH	-90.68	69.51	16.79	19.74	22.10	23.94	26.41	27.82	29.24	1.00	1.00	1.00
thiophene	26.74	66.58	17.55	22.72	27.00	30.42	35.31	38.54	43.12	0.24	1.00	1.00
DHTP-2-ol	-22.43  78.06	24.92   31.33   36.65   40.86   46.94   51.15   57.51	1.00	1.00	1.00
DHTP-3-ol	-21.68  77.71	25.60   32.36   37.58   41.56   47.31   51.36   57.59	1.00	1.00	1.00
benzaldehyde	-10.03	79.67	26.37   34.38   41.26   46.87   55.14   60.79   68.78	1.00	1.00	1.00
benzenethial	43.95   82.19	27.26   35.41   42.29   47.81   55.83   61.26   68.97	1.00	1.00	1.00
PhCHOHSH	-20.54  93.55   38.16   47.24   54.31   59.84   67.91   73.59   82.20	1.00	1.00	1.00

//cyclohexene to 1,3-cyclohexadiene to benzene
cyc-C6H10	-1.03	74.20	24.42	33.39	41.41	48.14	58.47	65.88	76.91	0.23	1.00	1.00	"see NIST webbook"
cyc-C6H9J-3	30.04	73.79	24.28	32.36	39.58	45.76	55.33	62.07	71.91	1.00	1.00	1.00	"CAC CBS-QB3"
cyc-C6H9J-4	45.73	75.45	25.02	32.86	39.89	45.96	55.45	62.19	72.03	1.00	1.00	1.00	"CAC CBS-QB3"
cyc-C6H8	25.00	72.52	22.66	30.72	37.76	43.56	52.27	58.42	67.52	0.15	1.00	1.00	"see NIST webbook"
cyc-C6H7J	48.64	70.60	22.30	29.55	35.87	41.17	49.18	54.69	62.60	1.00	1.00	1.00	"CAC CBS-QB3"
benzene		19.8	64.36	19.84	27.13	33.30	38.26	45.52	50.53	57.87	0.20	1.00	1.00	"H from [12], rest from TRC"

toluene		12.0	80.74	24.95	33.44	40.82	46.89	56.00	62.43	71.94	0.26	1.00	1.00	"see NIST webbook, used G3B3 calc for entropy"
benzyl		49.5	76.31	26.48	34.85	41.67	47.06	54.92	60.39	68.52	1.00	1.00	1.00	"see NIST, used QCISD/cc-pVDZ for Cp"

//For propyl sulfide + SCW
propyl_sulfide	-31.17	107.16	39.67	47.81	55.70	62.88	74.66	83.38	96.57	1.00	1.00	1.00	
propyl_sulfide_alpha	9.42	111.53	40.00	47.62	54.89	61.45	72.16	80.08	92.07	1.00    1.00    1.00
C2H5CHS		10.00	75.97	19.36	23.24	26.90	30.19	35.50	39.40	45.29	1.00	1.00	1.00
C2H5CHOHSH	-59.19	86.26	30.98	36.02	39.96	43.21	48.46	52.55	59.35	1.00	1.00	1.00
C2H5COHS	-47.63	81.00	22.15	26.94	31.34	35.20	41.28	45.58	51.74	1.00    1.00    1.00
C2H5COSH	-49.69	82.73	25.13	29.28	32.96	36.21	41.46	45.33	51.11	1.00    1.00    1.00
C2H5CJOHSH	-19.57	88.10	28.32	33.46	37.50	40.77	45.71	49.25	54.78	1.00	1.00	1.00
C2H5CHOHSJ	-23.71	85.29	25.77	30.82	35.22	38.97	44.84	49.07	55.37	1.00	1.00	1.00
C2H5COSJ	-12.43	82.55	22.01	25.56	28.93	31.98	36.95	40.60	46.08	1.00	1.00	1.00
C2H5COHOHSH	-107.73	94.12	32.94	38.31	42.84	46.70	52.80	57.27	64.12	1.00	1.00	1.00
C3H7SH		-17.90	81.48	23.30	27.79	32.04	35.90	42.23	46.96	54.21   1.00    1.00    1.00        
CH3C2H2SH	10.58	77.77	20.80	24.52	27.93	30.98	35.98	39.72	45.48	1.00	1.00	1.00
C2H5CJS	49.83	77.54	18.41	21.51	24.63	27.48	32.14	35.55	40.62	1.00	1.00	1.00
C2H4CHS	36.76	73.29	18.52	22.07	25.33	28.22	32.87	36.29	41.44	1.00	1.00	1.00


//C3H7, H2O, H2S, C3H6O, C3H5O, C3H8, C2H5, C2H6, CO in cfgold lib

//For hexyl sulfide + SCW
hexyl_sulfide	-60.75	163.68	72.67	89.51	105.20	118.98	141.08	157.42	182.07	1.30	1.78	1.24
hexyl_sulfide_alpha	-20.16	168.05	73.00	89.32	104.39	117.55	138.58	154.12	177.57	1.30	1.78	1.24
C5H11CHS	-4.79	104.23	35.86	44.09	51.65	58.24	68.71	76.42	88.04	1.15	1.39	1.12
C5H11CHOHSH	-73.98	114.52	47.48	56.87	64.71	71.26	81.67	89.57	102.10	1.15	1.39	1.12
C5H11COHS	-62.42	109.26	38.65	47.79	56.09	63.25	74.49	82.60	94.49	1.15	1.39	1.12
C5H11COSH	-64.48	110.99	41.63	50.13	57.71	64.26	74.67	82.35	93.86	1.15	1.39	1.12
C5H11CJOHSH	-34.36	116.36	44.82	54.31	62.25	68.82	78.92	86.27	97.53	1.15	1.39	1.12
C5H11CHOHSJ	-38.50	113.55	42.27	51.67	59.97	67.02	78.05	86.09	98.12	1.15	1.39	1.12
C5H11COSJ	-27.22	110.81	38.51	46.41	53.68	60.03	70.16	77.62	88.83	1.15	1.39	1.12
C5H11COHOHSH	-122.52	122.38	49.44	59.16	67.59	74.75	86.01	94.29	106.87	1.15	1.39	1.12
C6H13SH	-32.69	109.74	39.80	48.64	56.79	63.95	75.44	83.98	96.96	1.15	1.39	1.12
hexyl_sulfide_beta	-14.40	168.19	71.37	87.15	102.18	115.54	137.10	153.06	177.08	1.30	1.78	1.24
hexyl_sulfide_gamma	-14.40  168.19  71.37   87.15   102.18  115.54  137.10  153.06  177.08  1.30    1.78    1.24
hexyl_sulfide_delta	-14.40  168.19  71.37   87.15   102.18  115.54  137.10  153.06  177.08  1.30    1.78    1.24
hexyl_sulfide_epsilon	-14.40  168.19  71.37   87.15   102.18  115.54  137.10  153.06  177.08  1.30    1.78    1.24
C4H9C2H2SH	-4.21	104.63	37.30	45.38	52.69	59.03	69.19	76.74	88.23	1.15	1.39	1.12
C5H11CJS	35.04	104.63	37.30	45.38	52.69	59.03	69.19	76.74	88.23	1.15	1.39	1.12
C5H10CHS	21.97	104.63	37.30	45.38	52.69	59.03	69.19	76.74	88.23	1.15	1.39	1.12


C6H13SJ	1.69	105.55	36.86	45.86	54.08	61.17	72.36	80.56	92.91	1.15	1.39	1.12
Et2-THT	-22.28	89.79	33.65	43.03	51.45	58.73	70.18	78.37	90.48	1.00	1.00	1.00
Et2-Thiophene	13.55	87.82	28.42	35.85	42.40	47.98	56.57	62.61	71.37	1.00	1.00	1.00
Et2-DHT-J	33.34	89.89	31.84	39.75	46.62	52.43	61.35	67.62	76.74	1.00	1.00	1.00
Et2-DHT23	6.43	88.80	32.04	40.42	47.81	54.14	63.96	70.94	81.18	1.00	1.00	1.00
Et2-DHT25	6.70	89.57	32.09	40.36	47.75	54.10	63.99	71.01	81.28	1.00	1.00	1.00
Vinyl2-DHT-3J	64.66	84.61	30.42	38.03	44.20	49.11	56.13	60.82	67.88	1.00	1.00	1.00
Vinyl2-DHT-2J	53.83	83.69	28.62	36.12	42.44	47.65	55.43	60.76	68.56	1.00	1.00	1.00
hex-2-ene-1-thiol	-4.64	104.12	40.25	47.45	53.99	59.85	69.53	76.82	88.12	1.00	1.00	1.00
hexanethial-4J	42.12	107.11	34.61	41.82	48.76	54.99	65.05	72.35	83.19	1.00	1.00	1.00
C2H5C4H4S	41.81	94.55	32.17	39.28	45.73	51.34	60.24	66.65	76.17	1.00    1.00    1.00
C2H5CJC2H2CS	107.25	95.04	32.55	38.52	43.55	47.79	54.40	59.15	66.31	1.00    1.00    1.00
Et2-THT-5J	18.02	92.31	34.25	42.90	50.58	57.20	67.57	75.00	86.01	1.00    1.00    1.00
Et2-TP-5J	79.48	89.42	28.07	34.83	40.76	45.79	53.52	58.94	66.78	1.00    1.00    1.00

2-Hexyl-TP	-6.17	125.50	50.42	63.65	75.40	85.38	100.85	111.97	128.37	1.00	1.00	1.00
3-Hexyl-TP	-5.99	125.36	50.58	63.81	75.54	85.50	100.93	112.02	128.39	1.00    1.00    1.00
2-HexylJ-TP	25.58	123.86	50.23	63.07	74.40	83.96	98.73	109.28	124.74	1.00    1.00    1.00
3-HexylJ-TP	29.19	124.16	50.26	63.17	74.53	84.10	98.83	109.34	124.71	1.00    1.00    1.00


// hexanal from DFT_QCI thermo for propanal + GAV's
