JP10	       -19.5   	85.39   6.142   51.917  65.987  77.67   95.158  107.552 126.069		0.0	0.0	0.0     Hudzik et al. 2010 using CBS-QB3/G3MP2B3 for Hf298
R4 	        27.0	90.1825 36.9205	52.0895	65.484	76.499	92.972  104.575	121.855		0.0	0.0	0.0	Hudzik et al. 2010 using CBS-QB3/G3MP2B3 for Hf298
R5	    	26.4	88.3615 36.8055	52.025	65.435	76.4515	92.915	104.511	121.7965	0.0	0.0	0.0	Hudzik et al. 2010 using CBS-QB3/G3MP2B3 for Hf298
C5H5_rad1       96.41   68.21   17.58   23.39   28.28   32.18   37.89   41.84   47.72       	0.0 	0.0 	0.0     CBS-QB3 calculation processed in Cantherm (fixed version Jan. 24, 2012) by gmagoon
C5H5_rad2       95.88   68.01   17.62   23.47   28.36   32.26   37.94   41.89   47.74       	0.0 	0.0 	0.0     CBS-QB3 calculation processed in Cantherm (fixed version Jan. 24, 2012) by gmagoon; differs significantly (Hf298 is about 16 kcal/mol higher) than the QMTP-based HBI result, apparently mainly due to inaccurate HBI value 
Cyclopentene    8.92    68.06   19.02   25.89   32.42   38.09   46.19   52.20   60.87       	0.0 	0.0 	0.0     Burcat database http://garfield.chem.elte.hu/Burcat/burcat.html
BRad	        24.83	86.514	28.861	37.431	44.585	50.302	58.654	64.436	72.973	    	0.0 	0.0 	0.0	de Silva and Bozzelli, J. Phys. Chem. A 2009, 113, 6979-6986
BZO	        30.0	84.346	28.155	36.528	43.689	49.508	58.104	64.068	72.823	    	0.0 	0.0 	0.0	de Silva and Bozzelli, J. Phys. Chem. A 2009, 113, 6979-6986
BZA	        -9.51	 79.030	26.042	34.048	40.952	46.602	54.965	60.701	68.818	    	0.0 	0.0 	0.0	de Silva and Bozzelli, J. Phys. Chem. A 2009, 113, 6979-6986
C5H5yl	        91.996	74.27	22.284	27.017	30.795	33.812	38.254	41.567	46.677	    	0.0 	0.0 	0.0     Burcat database http://garfield.chem.elte.hu/Burcat/burcat.html
tricyclo-3-ene 	14.036 	86.74   35.55   50.75   63.72   74.316  90.09   101.14  117.47     	0.0 	0.0 	0.0     Derived from bond additivity corrections
tricyclo-3-ene 	13.09 	84.74   36.88   51.49   65.34   77.46  	94.73   104.01  118.59      	0.0 	0.0 	0.0     Nick vandewiele estimate

// Some problem cases
// Estimated by Benson groups, but entropy too high : pentenylcyclopentene 58.56   118.42  42.27   54.85   66.46   76.13   91.34   102.24  118.98
pentenylcyclopentene 	58.56   104.62 	42.89 	57.20 	70.03 	80.76 	97.18 	108.99 	126.84 	0.0 	0.0 	0.0     Aaron Vandeputte
JR5BS1 			40.96   95.57 	39.79 	54.32 	67.15 	77.75 	93.73 	105.08 	122.09  0.0     0.0     0.0     Aaron Vandeputte
C10H16JJ	        78.02   108.6   43.11   56.8    68.86   79.13   95.04   106.21  124.68	0.0     0.0     0.0     Aaron Vandeputte	
C=C1CCC=C2CCCC21	15.63   93.19   38.12   52.17   64.52   74.72   90.13   101.07  117.37 	0.0     0.0     0.0     Aaron Vandeputte, add 8 kcal mol-1, probably PM3 not so accurate for this molecule



